dir,filename,enc,param,experiment,hof_best,duration_s,total_nevals,n_generations
stats\fitness = vertpos,HoF-f4-8,f4,,8,1.366113323639523,1619.8965742588043,27671.0,301
stats\fitness = vertpos,HoF-f4-9,f4,,9,1.4240841510178284,1589.1621799468994,27767.0,301
stats\fitness = vertpos,HoF-f9-0,f9,,0,0.8685229738983516,1175.8764188289642,27648.0,301
stats\fitness = vertpos,HoF-f9-1,f9,,1,1.026075088583445,1289.6346848011017,27657.0,301
stats\fitness = vertpos,HoF-f9-2,f9,,2,0.964594088663543,1193.752221107483,27696.0,301
stats\fitness = vertpos,HoF-f9-3,f9,,3,0.831954490535299,1227.9559547901154,27770.0,301
stats\fitness = vertpos,HoF-f9-4,f9,,4,1.029103583879208,1210.1535272598267,27764.0,301
stats\fitness = vertpos,HoF-f9-5,f9,,5,1.0724120390781509,1280.7931270599365,27730.0,301
stats\fitness = vertpos,HoF-f9-6,f9,,6,0.9619692375444645,1165.7631108760834,27625.0,301
stats\fitness = vertpos,HoF-f9-7,f9,,7,0.9625551442952163,1161.8050968647003,27671.0,301
stats\fitness = vertpos,HoF-f9-8,f9,,8,0.8673122611509634,1191.6465911865234,27748.0,301
stats\fitness = vertpos,HoF-f9-9,f9,,9,0.964594088663543,1148.4897119998932,27688.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f0-0,f0,,0,-0.009934832383875561,943.0754053592682,27782.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f0-1,f0,,1,-0.009934237965632463,946.530027627945,27717.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f0-2,f0,,2,-0.00993405802539341,937.358273267746,27744.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f0-3,f0,,3,-0.009877831704596409,939.9075176715851,27683.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f0-4,f0,,4,-0.009859334541787952,936.3515484333038,27712.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f0-5,f0,,5,-0.009804723379302752,942.9268939495087,27708.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f0-6,f0,,6,-0.009932962751555195,927.677405834198,27707.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f0-7,f0,,7,-0.009935101382552365,946.1279501914978,27728.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f0-8,f0,,8,-0.009933667035787823,944.0318491458893,27723.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f0-9,f0,,9,-0.00993527169403251,946.2204647064209,27726.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f1-0,f1,,0,1.7226965119334836,1319.4003245830536,27719.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f1-1,f1,,1,1.5595351904491264,1210.6428442001343,27752.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f1-2,f1,,2,1.3139673832293421,1278.3170528411865,27608.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f1-3,f1,,3,1.5981989755400339,1261.3037128448486,27674.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f1-4,f1,,4,1.5834598934932824,1397.409274339676,27747.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f1-5,f1,,5,1.5171605376615618,1147.0313048362732,27643.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f1-6,f1,,6,1.43826033027889,1174.5054821968079,27712.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f1-7,f1,,7,1.391860927514968,1302.8002443313599,27657.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f1-8,f1,,8,1.624418006206898,1394.2252461910248,27672.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f1-9,f1,,9,1.9213373503299982,1182.7339758872986,27727.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f4-0,f4,,0,1.4222626886429757,1392.9583342075348,27705.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f4-1,f4,,1,1.3467695716032124,1853.7425894737244,27714.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f4-2,f4,,2,1.9069040723301114,1879.716839313507,27719.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f4-3,f4,,3,1.5625585007585248,1358.1301941871643,27688.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f4-4,f4,,4,1.3008248349691787,1280.6041631698608,27654.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f4-5,f4,,5,0.9077525276294931,1344.2836878299713,27743.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f4-6,f4,,6,1.5630625105434337,1834.9735610485077,27641.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f4-7,f4,,7,1.4718598801626546,1749.662371635437,27673.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f4-8,f4,,8,0.919066521636501,1356.5544633865356,27687.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f4-9,f4,,9,1.492200533859059,1892.7704603672028,27680.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f9-0,f9,,0,1.0724120390781509,1324.06782412529,27672.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f9-1,f9,,1,1.074422554176315,1359.4957070350647,27695.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f9-2,f9,,2,1.061820464400941,1264.5470688343048,27798.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f9-3,f9,,3,0.964594088663543,1237.277016401291,27791.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f9-4,f9,,4,0.8250890041156499,1215.079920053482,27728.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f9-5,f9,,5,0.8334156570781676,1181.444964647293,27703.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f9-6,f9,,6,1.0621321519005273,1291.4735493659973,27756.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f9-7,f9,,7,1.0680026961986089,1259.7337036132812,27745.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f9-8,f9,,8,0.9339960695460279,1202.7596690654755,27704.0,301
stats\fitness = vertpos + 0.00003 numparts,HoF-f9-9,f9,,9,1.0737081490565947,1206.3934223651886,27721.0,301
stats\2026-09-07_22,HoF-f0-0,f0,,0,1.4529311226699997,1598.8484008312225,27690.0,301
stats\2026-09-07_22,HoF-f0-1,f0,,1,1.4442221420009123,1146.740712404251,27698.0,301
stats\2026-09-07_22,HoF-f0-2,f0,,2,1.7001331562764885,1238.1627266407013,27707.0,301
stats\2026-09-07_22,HoF-f0-3,f0,,3,1.1059531760388928,1114.3462085723877,27774.0,301
stats\2026-09-07_22,HoF-f0-4,f0,,4,1.204489782039705,1315.0755774974823,27635.0,301
stats\2026-09-07_22,HoF-f0-5,f0,,5,2.2240671071028597,1386.4710988998413,27653.0,301
stats\2026-09-07_22,HoF-f0-6,f0,,6,1.0828874370810262,1531.8258385658264,27661.0,301
stats\2026-09-07_22,HoF-f0-7,f0,,7,1.5670450869833423,1185.976574897766,27750.0,301
stats\2026-09-07_22,HoF-f0-8,f0,,8,1.3114999580733502,1141.8158102035522,27660.0,301
stats\2026-09-07_22,HoF-f0-9,f0,,9,1.3825586784716053,1158.171462059021,27669.0,301
stats\2026-09-07_22,HoF-f1-0,f1,,0,1.5066417345450422,1239.4266209602356,27719.0,301
stats\2026-09-07_22,HoF-f1-1,f1,,1,1.7517148824489563,1291.5091280937195,27713.0,301
stats\2026-09-07_22,HoF-f1-2,f1,,2,1.7228210778784738,1228.3810789585114,27739.0,301
stats\2026-09-07_22,HoF-f1-3,f1,,3,1.3725297210697975,1269.6362745761871,27770.0,301
stats\2026-09-07_22,HoF-f1-4,f1,,4,1.5349097034747232,1265.2062661647797,27747.0,301
stats\2026-09-07_22,HoF-f1-5,f1,,5,1.7988797243036476,1352.814618587494,27694.0,301
stats\2026-09-07_22,HoF-f1-6,f1,,6,1.654813197010813,1321.3770380020142,27647.0,301
stats\2026-09-07_22,HoF-f1-7,f1,,7,2.085528053605624,1210.7343542575836,27739.0,301
stats\2026-09-07_22,HoF-f1-8,f1,,8,1.5874140185994017,1350.7304155826569,27747.0,301
stats\2026-09-07_22,HoF-f1-9,f1,,9,1.1928190249510389,1260.610771894455,27669.0,301
stats\2026-09-07_22,HoF-f4-0,f4,,0,1.9204337213344727,1505.6260623931885,27734.0,301
stats\2026-09-07_22,HoF-f4-1,f4,,1,2.4444305742259678,1420.7168214321136,27704.0,301
stats\2026-09-07_22,HoF-f4-2,f4,,2,1.8666826064180324,1409.5663015842438,27734.0,301
stats\2026-09-07_22,HoF-f4-3,f4,,3,1.9051805413952712,1321.6368663311005,27645.0,301
stats\2026-09-07_22,HoF-f4-4,f4,,4,1.954013753367855,1339.9057025909424,27721.0,301
stats\2026-09-07_22,HoF-f4-5,f4,,5,1.3585685896389872,1317.6049745082855,27731.0,301
stats\2026-09-07_22,HoF-f4-6,f4,,6,1.6080262909452274,1399.0181868076324,27604.0,301
stats\2026-09-07_22,HoF-f4-7,f4,,7,1.8536238509486958,1318.397249698639,27757.0,301
stats\2026-09-07_22,HoF-f4-8,f4,,8,1.7882505558190152,1367.4068520069122,27700.0,301
stats\2026-09-07_22,HoF-f4-9,f4,,9,1.9359658559408635,1422.5172443389893,27731.0,301
stats\2026-09-07_22,HoF-f9-0,f9,,0,0.9619692375444645,1186.051111459732,27643.0,301
stats\2026-09-07_22,HoF-f9-1,f9,,1,0.9619692375444645,1184.7720556259155,27673.0,301
stats\2026-09-07_22,HoF-f9-2,f9,,2,0.9234528686190239,1204.1283905506134,27754.0,301
stats\2026-09-07_22,HoF-f9-3,f9,,3,1.0715797152092683,1229.3859465122223,27679.0,301
stats\2026-09-07_22,HoF-f9-4,f9,,4,1.0705338877697748,1265.6796247959137,27638.0,301
stats\2026-09-07_22,HoF-f9-5,f9,,5,0.964594088663543,1201.4849970340729,27767.0,301
stats\2026-09-07_22,HoF-f9-6,f9,,6,0.8864770100352589,1213.5065977573395,27730.0,301
stats\2026-09-07_22,HoF-f9-7,f9,,7,0.9321801348091038,1244.462727546692,27707.0,301
stats\2026-09-07_22,HoF-f9-8,f9,,8,0.8290169318413751,1131.5812103748322,27782.0,301
stats\2026-09-07_22,HoF-f9-9,f9,,9,1.06968460126238,1129.4994344711304,27780.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f0-0,f0,,0,-0.0016378801420474888,1187.6466703414917,27621.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f0-1,f0,,1,-0.0008674347273260117,1198.7191262245178,27696.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f0-2,f0,,2,-0.004641820814111738,1196.83070230484,27766.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f0-3,f0,,3,-0.0037264330025168447,1198.1672656536102,27699.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f0-4,f0,,4,0.0007675556639238408,1210.861911058426,27662.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f0-5,f0,,5,-0.0024991634978734994,1190.4770369529724,27750.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f0-6,f0,,6,-0.0006325697219639419,1200.4664368629456,27739.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f0-7,f0,,7,0.183017624403093,1194.357614994049,27752.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f0-8,f0,,8,-0.0019331282763804343,1188.2673149108887,27693.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f0-9,f0,,9,-0.0026901892987343345,1194.2602581977844,27661.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f1-0,f1,,0,1.5334453393028917,1587.4337491989136,27685.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f1-1,f1,,1,1.3379626757094658,1607.8254289627075,27681.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f1-2,f1,,2,2.2169979041018193,1578.248990535736,27661.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f1-3,f1,,3,1.2444455562509715,1519.786134004593,27647.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f1-4,f1,,4,1.139374193279023,1533.1457567214966,27748.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f1-5,f1,,5,1.1104656002274484,1629.8753991127014,27789.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f1-6,f1,,6,1.469949159228784,1544.3738934993744,27760.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f1-7,f1,,7,1.2237158145136309,1624.920080423355,27690.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f1-8,f1,,8,1.3003441574730912,1515.5245583057404,27591.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f1-9,f1,,9,1.3290496414971806,1525.7746555805206,27687.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f4-0,f4,,0,1.34785684318366,1346.6585154533386,27725.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f4-1,f4,,1,1.6432356085997897,1345.2915532588959,27645.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f4-2,f4,,2,1.4105461212115433,1337.3510737419128,27703.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f4-3,f4,,3,1.6077171672051387,1341.9653103351593,27660.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f4-4,f4,,4,1.5472270523366212,1358.2288522720337,27714.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f4-5,f4,,5,1.8485811397675933,1262.1866478919983,27728.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f4-6,f4,,6,2.0774075562937133,1319.0755350589752,27644.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f4-7,f4,,7,1.9147045811917833,1297.344068288803,27720.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f4-8,f4,,8,1.556362653116996,1331.7358639240265,27721.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f4-9,f4,,9,1.6010357422009105,1369.1488041877747,27700.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f9-0,f9,,0,0.8878397526372519,1255.592295885086,27644.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f9-1,f9,,1,1.0618439209644952,1277.5412917137146,27724.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f9-2,f9,,2,1.0619374905653582,1314.4825556278229,27677.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f9-3,f9,,3,0.8663958858021124,1188.4009511470795,27770.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f9-4,f9,,4,1.0692491887769104,1345.3380732536316,27705.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f9-5,f9,,5,1.0618439209644952,1332.6045112609863,27709.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f9-6,f9,,6,1.026148162082226,1299.3555932044983,27719.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f9-7,f9,,7,1.074370695134455,1351.8701152801514,27768.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f9-8,f9,,8,1.0728803840798675,1273.9169619083405,27673.0,301
stats\fitness = vertpos + 0.0003 numparts,HoF-f9-9,f9,,9,1.0728803840798675,1317.4518110752106,27702.0,301
