Argument values: path=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;only-body.sim;uneven-ground.sim, genformat=4, initialgenotype=None, opt=vertpos, popsize=100, generations=300, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\runs\2026-09-07_224747\gens\HoF-f4-4.gen, save_stats=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\stats, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=None
Using Framsticks version: 5.5
Home (writable) dir     : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data
Resources dir           : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'only-body.sim', 'uneven-ground.sim']

Simulator.load: Loading from 'eval-allcriteria.sim'
Loader.load: Comments read from file follow:
Loader.load:  Sample settings for evaluating many criteria of performance of a Framsticks creature.
Loader.load:  See the "evalcount" parameter if you want to speed the evaluation up or have a more stable result.
Loader.load:  Other important parameters are "Energy0" and "perfperiod".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded genepool settings, 2 population settings, simulator settings from 'eval-allcriteria.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'sample-period-2.sim'
Loader.load: Comments read from file follow:
Loader.load:  Very low "performance sampling period" in the first population to sample performance very often during lifespan
Loader.load:  and avoid overlooking some behavior. Averaged performance of sampled values is returned as the final value.
Loader.load:  See http://www.framsticks.com/a/al_params.html#exper-perfcalc
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded population settings from 'sample-period-2.sim'
Simulator.load: Loading from 'only-body.sim'
Loader.load: Comments read from file follow:
Loader.load:  Turns off mutations in f0, f1, f4, fH related to brain (disables adding and modifying neurons)
Simulator.load: Loaded simulator settings from 'only-body.sim'
Simulator.load: Loading from 'uneven-ground.sim'
Loader.load: Comments read from file follow:
Loader.load:  Produces a microscopically uneven underlying heightfield, where the resting height ("vertpos") is sensitive to the shape of structures,
Loader.load:  because individual Parts settle at different elevations depending on the (world-centered) geometry of the structure.
Simulator.load: Loaded simulator settings from 'uneven-ground.sim'
gen	nevals	avg         	stddev    	min         	max         
0  	100   	-0.000966667	1.0842e-19	-0.000966667	-0.000966667
1  	87    	-0.000961   	1.25211e-05	-0.000966667	-0.000933333
2  	92    	-0.000936   	1.46667e-05	-0.000966667	-0.0009     
3  	91    	-0.000918   	2.0232e-05 	-0.000966667	-0.000866667
4  	89    	-0.000890667	2.31325e-05	-0.000966667	-0.000833333
5  	90    	-0.000859333	1.97653e-05	-0.000933333	-0.0008     
6  	89    	0.000358579 	0.0118728  	-0.000933333	0.118491    
7  	89    	0.00441157  	0.0237055  	-0.000933333	0.118825    
8  	94    	0.027542    	0.0536391  	-0.000933333	0.282985    
9  	96    	0.0897765   	0.0824334  	-0.0009     	0.354267    
10 	84    	0.189888    	0.134409   	-0.000933333	0.586844    
11 	96    	0.252748    	0.191099   	-0.000933333	0.633449    
12 	94    	0.352586    	0.229523   	-0.0009     	0.734759    
13 	94    	0.359172    	0.264801   	-0.000966667	0.829022    
14 	93    	0.408855    	0.290208   	-0.0009     	0.829022    
15 	91    	0.453672    	0.308372   	-0.000833333	0.829058    
16 	93    	0.500499    	0.320525   	-0.0009     	0.946671    
17 	88    	0.534925    	0.343635   	-0.0009     	0.946671    
18 	92    	0.437857    	0.364613   	-0.000966667	0.979509    
19 	91    	0.526247    	0.366654   	-0.000933333	0.986038    
20 	89    	0.617708    	0.387803   	-0.000966667	1.10875     
21 	91    	0.566051    	0.40743    	-0.0009     	1.10875     
22 	94    	0.5297      	0.42535    	-0.0009     	1.10875     
23 	94    	0.577695    	0.454196   	-0.000833333	1.11367     
24 	97    	0.563179    	0.461115   	-0.0009     	1.11861     
25 	95    	0.576456    	0.445546   	-0.0009     	1.11861     
26 	98    	0.588125    	0.472967   	-0.000933333	1.16238     
27 	93    	0.614698    	0.468273   	-0.000966667	1.164       
28 	87    	0.633586    	0.474041   	-0.000933333	1.20492     
29 	92    	0.62682     	0.484793   	-0.0008     	1.20492     
30 	91    	0.712805    	0.477534   	-0.000933333	1.23402     
31 	93    	0.738965    	0.49211    	-0.000933333	1.23402     
32 	96    	0.713396    	0.494345   	-0.000833333	1.23583     
33 	94    	0.661826    	0.504652   	-0.000933333	1.24429     
34 	92    	0.640596    	0.520421   	-0.000833333	1.24429     
35 	91    	0.703106    	0.49339    	-0.000966667	1.24429     
36 	94    	0.663916    	0.502387   	-0.0009     	1.24429     
37 	94    	0.795238    	0.492876   	-0.0009     	1.24685     
38 	85    	0.778135    	0.503536   	-0.0009     	1.24723     
39 	93    	0.796788    	0.499942   	-0.0008     	1.24891     
40 	95    	0.708733    	0.508978   	-0.000833333	1.24891     
41 	93    	0.691182    	0.503844   	-0.000933333	1.26506     
42 	86    	0.717133    	0.519077   	-0.000933333	1.2738      
43 	96    	0.704914    	0.530691   	-0.0008     	1.2738      
44 	91    	0.655663    	0.522606   	-0.000933333	1.27528     
45 	96    	0.652527    	0.536254   	-0.000933333	1.28922     
46 	90    	0.725281    	0.537015   	-0.000766667	1.28922     
47 	90    	0.774795    	0.526656   	-0.000766667	1.29506     
48 	92    	0.787655    	0.539824   	-0.0009     	1.29506     
49 	91    	0.758076    	0.546225   	-0.000933333	1.29671     
50 	94    	0.735006    	0.526133   	-0.000766667	1.29671     
51 	96    	0.65227     	0.551668   	-0.0009     	1.29671     
52 	92    	0.776924    	0.517115   	-0.0008     	1.29671     
53 	88    	0.75877     	0.530301   	-0.0009     	1.29948     
54 	92    	0.778875    	0.543991   	-0.000933333	1.29899     
55 	94    	0.656204    	0.542137   	-0.0008     	1.30385     
56 	90    	0.736435    	0.546272   	-0.0008     	1.30385     
57 	91    	0.754026    	0.541749   	-0.000933333	1.30385     
58 	88    	0.672284    	0.561222   	-0.0009     	1.30391     
59 	94    	0.767875    	0.533611   	-0.000933333	1.31092     
60 	91    	0.758887    	0.538639   	-0.000766667	1.31092     
61 	96    	0.693589    	0.558044   	-0.000833333	1.31124     
62 	91    	0.66868     	0.547116   	-0.000966667	1.31124     
63 	91    	0.710571    	0.537158   	-0.0008     	1.31322     
64 	94    	0.694774    	0.53289    	-0.0008     	1.3136      
65 	88    	0.720767    	0.548264   	-0.000766667	1.3136      
66 	88    	0.692807    	0.545372   	-0.000933333	1.3136      
67 	94    	0.675614    	0.549762   	-0.0008     	1.3136      
68 	90    	0.755789    	0.558547   	-0.000866667	1.3136      
69 	97    	0.754278    	0.540984   	-0.0009     	1.3139      
70 	94    	0.792002    	0.541773   	-0.000766667	1.3139      
