Argument values: path=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;only-body.sim;uneven-ground.sim, genformat=0, initialgenotype=None, opt=vertpos, popsize=100, generations=300, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\runs\2026-09-07_224747\gens\HoF-f0-7.gen, save_stats=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\stats, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=None
Using Framsticks version: 5.5
Home (writable) dir     : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data
Resources dir           : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'only-body.sim', 'uneven-ground.sim']

Simulator.load: Loading from 'eval-allcriteria.sim'
Loader.load: Comments read from file follow:
Loader.load:  Sample settings for evaluating many criteria of performance of a Framsticks creature.
Loader.load:  See the "evalcount" parameter if you want to speed the evaluation up or have a more stable result.
Loader.load:  Other important parameters are "Energy0" and "perfperiod".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded genepool settings, 2 population settings, simulator settings from 'eval-allcriteria.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'sample-period-2.sim'
Loader.load: Comments read from file follow:
Loader.load:  Very low "performance sampling period" in the first population to sample performance very often during lifespan
Loader.load:  and avoid overlooking some behavior. Averaged performance of sampled values is returned as the final value.
Loader.load:  See http://www.framsticks.com/a/al_params.html#exper-perfcalc
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded population settings from 'sample-period-2.sim'
Simulator.load: Loading from 'only-body.sim'
Loader.load: Comments read from file follow:
Loader.load:  Turns off mutations in f0, f1, f4, fH related to brain (disables adding and modifying neurons)
Simulator.load: Loaded simulator settings from 'only-body.sim'
Simulator.load: Loading from 'uneven-ground.sim'
Loader.load: Comments read from file follow:
Loader.load:  Produces a microscopically uneven underlying heightfield, where the resting height ("vertpos") is sensitive to the shape of structures,
Loader.load:  because individual Parts settle at different elevations depending on the (world-centered) geometry of the structure.
Simulator.load: Loaded simulator settings from 'uneven-ground.sim'
gen	nevals	avg         	stddev    	min         	max         
0  	100   	-0.000966667	1.0842e-19	-0.000966667	-0.000966667
1  	92    	-0.000966667	9.42809e-06	-0.001      	-0.000933333
2  	95    	-0.000958333	1.72401e-05	-0.001      	-0.000933333
3  	90    	0.00743825  	0.036397   	-0.001      	0.236831    
4  	87    	0.0482959   	0.0756133  	-0.000966667	0.236836    
5  	95    	0.162298    	0.0759518  	-0.000966667	0.351968    
6  	92    	0.211614    	0.0757461  	-0.000933333	0.351968    
7  	96    	0.264837    	0.0835883  	-0.000933333	0.396607    
8  	91    	0.330585    	0.0615437  	0.120527    	0.497294    
9  	93    	0.357695    	0.0992801  	-0.0009     	0.519472    
10 	90    	0.429313    	0.0938622  	0.0913234   	0.519978    
11 	85    	0.467073    	0.0910595  	0.0878458   	0.550637    
12 	94    	0.475244    	0.0931525  	0.20856     	0.656802    
13 	93    	0.505712    	0.111673   	0.163384    	0.7198      
14 	93    	0.555973    	0.131962   	0.140675    	0.719822    
15 	97    	0.618963    	0.134985   	0.195665    	0.851402    
16 	97    	0.626754    	0.179947   	0.193838    	0.851402    
17 	91    	0.693735    	0.204579   	0.16389     	0.871127    
18 	88    	0.662842    	0.247699   	0.15275     	0.871127    
19 	97    	0.690518    	0.237568   	0.15275     	0.924758    
20 	92    	0.720047    	0.229428   	0.159335    	0.925333    
21 	87    	0.740741    	0.239434   	0.170038    	0.968375    
22 	89    	0.732649    	0.271833   	0.127937    	0.975751    
23 	91    	0.705549    	0.312495   	0.127966    	0.978664    
24 	92    	0.688097    	0.301974   	0.146727    	0.980077    
25 	91    	0.7374      	0.299825   	0.146933    	1.01049     
26 	90    	0.810399    	0.285207   	0.146933    	1.01049     
27 	92    	0.768509    	0.325579   	0.138312    	1.01573     
28 	95    	0.665785    	0.37517    	0.103187    	1.01612     
29 	84    	0.803721    	0.331195   	0.139456    	1.06498     
30 	94    	0.692385    	0.381824   	0.0976325   	1.06498     
31 	96    	0.732613    	0.387517   	0.163534    	1.06498     
32 	92    	0.78724     	0.361762   	0.163531    	1.07948     
33 	93    	0.852383    	0.342221   	0.186903    	1.12741     
34 	91    	0.809675    	0.368395   	0.145026    	1.13045     
35 	94    	0.795632    	0.402594   	0.0869119   	1.13045     
36 	94    	0.749521    	0.431878   	0.0864893   	1.1347      
37 	92    	0.872975    	0.389564   	0.0866066   	1.16608     
38 	92    	0.740221    	0.421259   	0.0866066   	1.16608     
39 	88    	0.83579     	0.411091   	0.0866066   	1.169       
40 	91    	0.860796    	0.401483   	0.123579    	1.17257     
41 	92    	0.862522    	0.417589   	0.123579    	1.17266     
42 	92    	0.880463    	0.414557   	0.123579    	1.19455     
43 	94    	0.908561    	0.399449   	0.170576    	1.19455     
44 	91    	0.926387    	0.394671   	0.148252    	1.19653     
45 	94    	0.874292    	0.428476   	0.170576    	1.19835     
46 	90    	0.917076    	0.40101    	0.147677    	1.20173     
47 	89    	0.932708    	0.401439   	0.170206    	1.20857     
48 	91    	0.788896    	0.455886   	0.117713    	1.20857     
49 	88    	0.822317    	0.429794   	0.1707      	1.21008     
50 	93    	0.807857    	0.44361    	0.189053    	1.21402     
51 	93    	0.865842    	0.444855   	0.141412    	1.21405     
52 	92    	0.878501    	0.440552   	0.174534    	1.22096     
53 	86    	0.927702    	0.412763   	0.18726     	1.22096     
54 	93    	0.87488     	0.442943   	0.149388    	1.23808     
55 	89    	0.824945    	0.448582   	0.150206    	1.23808     
56 	90    	0.815351    	0.453808   	0.150206    	1.23897     
57 	93    	0.830118    	0.456642   	0.149941    	1.23897     
58 	96    	0.861428    	0.462346   	0.149934    	1.24002     
59 	93    	0.89697     	0.454648   	0.182595    	1.24194     
60 	93    	0.829881    	0.471012   	0.183185    	1.27822     
61 	92    	0.943823    	0.44464    	0.149447    	1.27824     
62 	92    	0.878369    	0.476389   	0.143901    	1.28126     
63 	91    	0.872823    	0.491714   	0.180592    	1.28126     
64 	93    	0.832511    	0.495465   	0.118052    	1.29096     
65 	93    	0.927753    	0.473195   	0.149438    	1.31714     
66 	90    	0.968064    	0.458627   	0.184952    	1.3267      
67 	92    	1.01919     	0.445368   	0.172387    	1.33499     
68 	94    	1.01631     	0.470574   	0.110545    	1.33599     
69 	88    	0.95644     	0.504448   	0.110542    	1.38441     
70 	95    	0.874352    	0.534109   	0.085952    	1.48372     
71 	92    	0.941003    	0.535399   	0.104502    	1.49213     
72 	91    	1.08769     	0.540694   	0.125498    	1.52033     
73 	88    	1.09507     	0.552257   	0.0794183   	1.52033     
74 	92    	0.943967    	0.615531   	0.0700787   	1.5207      
75 	88    	1.00233     	0.606104   	0.0687761   	1.52203     
76 	96    	1.10515     	0.583825   	0.0693081   	1.54534     
77 	92    	1.01777     	0.606035   	0.109356    	1.54534     
78 	94    	1.08838     	0.598029   	0.0702859   	1.54607     
79 	92    	0.950179    	0.64114    	0.046137    	1.54621     
80 	93    	1.15274     	0.584709   	0.107461    	1.59202     
81 	90    	1.09565     	0.614508   	0.0429484   	1.59246     
82 	91    	0.971375    	0.650094   	0.0429484   	1.59679     
83 	91    	0.998776    	0.670149   	0.118384    	1.59679     
84 	96    	0.993348    	0.666723   	0.115454    	1.59819     
85 	94    	1.09768     	0.64666    	0.115455    	1.59897     
86 	88    	1.0609      	0.664711   	0.115261    	1.60083     
87 	95    	1.11695     	0.64191    	0.115253    	1.60083     
88 	91    	0.98359     	0.670391   	0.0750607   	1.60281     
89 	93    	1.06889     	0.660179   	0.142604    	1.60918     
90 	93    	1.03706     	0.670596   	0.115595    	1.60915     
91 	89    	1.09063     	0.656195   	0.141668    	1.60915     
92 	92    	1.05834     	0.673881   	0.0750607   	1.60959     
93 	92    	1.05254     	0.66841    	0.150279    	1.61212     
94 	90    	1.02813     	0.671834   	0.068874    	1.64112     
95 	93    	1.01573     	0.67503    	0.15007     	1.64136     
96 	89    	1.10184     	0.659283   	0.109713    	1.64136     
97 	90    	1.08384     	0.683022   	0.082866    	1.64208     
98 	93    	1.1693      	0.651348   	0.109791    	1.64226     
99 	93    	1.09893     	0.674131   	0.082335    	1.64226     
100	96    	1.04712     	0.689897   	0.0828485   	1.66414     
101	98    	1.05696     	0.691974   	0.0828967   	1.66414     
102	89    	1.08618     	0.695606   	0.0761459   	1.66414     
103	92    	0.942961    	0.716749   	0.0761138   	1.66414     
104	90    	1.02625     	0.706285   	0.0757153   	1.66419     
105	98    	0.823791    	0.698388   	0.0761138   	1.66419     
106	93    	1.01918     	0.710067   	0.0757153   	1.66419     
107	92    	0.961542    	0.704813   	0.0761138   	1.66519     
108	95    	0.960954    	0.717918   	0.0761126   	1.67062     
109	92    	0.938225    	0.707704   	0.0760982   	1.67078     
110	85    	1.05159     	0.693984   	0.0729508   	1.67087     
111	87    	1.22233     	0.661535   	0.0729508   	1.67161     
112	94    	1.06351     	0.69498    	0.0729508   	1.67161     
113	92    	1.13691     	0.675218   	0.0728912   	1.67161     
114	92    	1.06931     	0.699248   	0.0728149   	1.67164     
115	90    	1.05367     	0.699688   	0.072816    	1.67279     
116	85    	1.13553     	0.681786   	0.0730559   	1.67279     
117	91    	1.10823     	0.686577   	0.0730856   	1.6728      
118	95    	1.10938     	0.696866   	0.0729517   	1.68037     
119	92    	0.968477    	0.719842   	0.0729551   	1.68599     
120	87    	1.13567     	0.691331   	0.0728729   	1.68619     
121	91    	1.09926     	0.694804   	0.0849403   	1.68624     
122	96    	1.06121     	0.713748   	0.133229    	1.68753     
123	91    	1.08601     	0.698645   	0.0857435   	1.68753     
124	95    	1.04287     	0.713401   	0.133513    	1.68864     
125	97    	1.08252     	0.703461   	0.090159    	1.69358     
126	89    	1.1139      	0.697099   	0.0838615   	1.69358     
127	89    	1.22461     	0.673688   	0.13362     	1.69377     
128	95    	1.02991     	0.711605   	0.11794     	1.69415     
129	91    	1.08593     	0.71552    	0.0838615   	1.69425     
130	93    	1.10621     	0.703055   	0.133754    	1.69427     
131	93    	0.994745    	0.710664   	0.133754    	1.69427     
132	88    	1.05485     	0.716037   	0.0856358   	1.69427     
133	95    	1.07594     	0.698696   	0.118297    	1.69461     
134	93    	0.975887    	0.719971   	0.118289    	1.69488     
135	91    	1.06772     	0.710238   	0.0867587   	1.69513     
136	87    	1.06469     	0.706722   	0.118242    	1.69514     
137	91    	1.15743     	0.689645   	0.13478     	1.69514     
138	93    	1.07285     	0.717879   	0.0866806   	1.69545     
139	98    	1.04411     	0.711468   	0.0882121   	1.69546     
140	90    	1.13718     	0.708199   	0.086976    	1.69546     
141	95    	0.96755     	0.72802    	0.0877825   	1.69546     
142	95    	0.930817    	0.721271   	0.118769    	1.69549     
143	92    	1.13031     	0.701517   	0.0877777   	1.69549     
144	95    	0.991563    	0.718777   	0.0877875   	1.69549     
145	93    	1.03406     	0.712705   	0.0877875   	1.69549     
146	95    	1.02362     	0.716378   	0.0868048   	1.69556     
147	90    	1.0139      	0.726322   	0.0881704   	1.69556     
148	92    	1.15017     	0.693709   	0.134809    	1.69556     
149	96    	1.10831     	0.709788   	0.0868124   	1.69561     
150	91    	1.06034     	0.716919   	0.0864078   	1.69561     
151	94    	1.11127     	0.696833   	0.118807    	1.69562     
152	96    	1.03244     	0.72331    	0.0864093   	1.69562     
153	90    	1.11663     	0.696461   	0.0880381   	1.69562     
154	90    	1.10465     	0.706368   	0.134741    	1.69566     
155	92    	1.03004     	0.721797   	0.118893    	1.69566     
156	93    	1.13816     	0.705153   	0.118894    	1.69566     
157	96    	1.01404     	0.714919   	0.0864093   	1.69566     
158	93    	1.00845     	0.71343    	0.0863529   	1.69566     
159	95    	0.990391    	0.711573   	0.0863651   	1.69566     
160	96    	1.12406     	0.702719   	0.134743    	1.69566     
161	92    	1.04286     	0.70941    	0.118883    	1.69566     
162	88    	1.00395     	0.722963   	0.0864093   	1.69566     
163	90    	1.01251     	0.71832    	0.0864093   	1.70346     
164	95    	1.03566     	0.72018    	0.0864093   	1.70346     
165	94    	1.13545     	0.702154   	0.0906273   	1.70375     
166	93    	1.19413     	0.690125   	0.0906273   	1.70482     
167	93    	1.31397     	0.629964   	0.0904968   	1.70613     
168	86    	1.27465     	0.649584   	0.128107    	1.70675     
169	90    	0.977388    	0.721722   	0.0850886   	1.70687     
170	86    	1.10786     	0.709085   	0.084605    	1.70687     
171	90    	1.03284     	0.725476   	0.113585    	1.70702     
172	90    	1.07651     	0.719385   	0.113585    	1.70702     
173	90    	1.05179     	0.72372    	0.113585    	1.70702     
174	93    	1.01039     	0.717688   	0.114665    	1.70824     
175	92    	1.12892     	0.703236   	0.0802071   	1.70824     
176	90    	1.11422     	0.712418   	0.0785282   	1.70824     
177	88    	1.05944     	0.728436   	0.113574    	1.70824     
178	93    	1.22366     	0.676846   	0.189951    	1.70854     
179	91    	1.05181     	0.728372   	0.0785282   	1.70898     
180	98    	1.2432      	0.67499    	0.114899    	1.709       
181	87    	1.12948     	0.699824   	0.114914    	1.70902     
182	91    	1.14829     	0.698486   	0.0789097   	1.70902     
183	91    	1.19426     	0.688357   	0.115006    	1.70903     
184	93    	1.1897      	0.686713   	0.114966    	1.70905     
185	88    	1.31327     	0.635633   	0.0777075   	1.70907     
186	94    	1.07577     	0.713062   	0.114968    	1.70912     
187	93    	1.20681     	0.688229   	0.114968    	1.70912     
188	88    	1.13461     	0.711617   	0.0774143   	1.70912     
189	93    	0.977376    	0.713981   	0.0773801   	1.70912     
190	90    	1.0701      	0.720261   	0.115017    	1.70912     
191	92    	1.0648      	0.715603   	0.132924    	1.70912     
192	92    	1.15487     	0.702203   	0.0774143   	1.70912     
193	89    	1.22789     	0.685223   	0.115067    	1.70913     
194	91    	1.19043     	0.683786   	0.0781533   	1.70913     
195	95    	1.12997     	0.690246   	0.11502     	1.70914     
196	93    	1.15061     	0.701148   	0.077721    	1.70915     
197	89    	1.18197     	0.69644    	0.0782446   	1.70915     
198	97    	1.24913     	0.66871    	0.11488     	1.70916     
199	89    	1.20937     	0.680756   	0.184655    	1.70916     
200	94    	1.11604     	0.705828   	0.150253    	1.70916     
201	96    	1.05431     	0.72767    	0.0780551   	1.70917     
202	91    	1.20109     	0.686978   	0.078345    	1.70918     
203	95    	1.13221     	0.70227    	0.115018    	1.7092      
204	87    	1.21138     	0.675575   	0.115029    	1.70918     
205	96    	1.24246     	0.676405   	0.115022    	1.70919     
206	88    	1.18569     	0.687497   	0.132926    	1.70919     
207	92    	1.16054     	0.699987   	0.0780474   	1.70924     
208	92    	1.20452     	0.683308   	0.132926    	1.71801     
209	89    	1.11567     	0.716461   	0.0780697   	1.71801     
210	89    	1.25178     	0.679616   	0.0779535   	1.71801     
211	96    	1.01239     	0.74502    	0.0729511   	1.72083     
212	96    	0.978346    	0.736126   	0.0729511   	1.72134     
213	93    	0.982007    	0.726529   	0.0729407   	1.72146     
214	91    	1.02908     	0.725056   	0.0729366   	1.72147     
215	94    	1.12995     	0.725857   	0.0727623   	1.72163     
216	92    	1.16464     	0.707972   	0.0727623   	1.72163     
217	88    	1.04946     	0.72073    	0.0727623   	1.72163     
218	94    	1.2155      	0.695122   	0.0730177   	1.72163     
219	91    	0.973876    	0.735603   	0.0729522   	1.72164     
220	92    	1.07151     	0.72226    	0.0729522   	1.72164     
221	94    	0.936435    	0.716587   	0.0729522   	1.72164     
222	93    	1.00731     	0.727533   	0.0729522   	1.72164     
223	92    	1.08005     	0.721774   	0.101528    	1.72164     
224	94    	1.16067     	0.709569   	0.072926    	1.72164     
