Argument values: path=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;only-body.sim;uneven-ground.sim, genformat=4, initialgenotype=None, opt=vertpos, popsize=100, generations=300, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\runs\2026-09-07_224747\gens\HoF-f4-6.gen, save_stats=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\stats, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=None
Using Framsticks version: 5.5
Home (writable) dir     : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data
Resources dir           : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'only-body.sim', 'uneven-ground.sim']

Simulator.load: Loading from 'eval-allcriteria.sim'
Loader.load: Comments read from file follow:
Loader.load:  Sample settings for evaluating many criteria of performance of a Framsticks creature.
Loader.load:  See the "evalcount" parameter if you want to speed the evaluation up or have a more stable result.
Loader.load:  Other important parameters are "Energy0" and "perfperiod".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded genepool settings, 2 population settings, simulator settings from 'eval-allcriteria.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'sample-period-2.sim'
Loader.load: Comments read from file follow:
Loader.load:  Very low "performance sampling period" in the first population to sample performance very often during lifespan
Loader.load:  and avoid overlooking some behavior. Averaged performance of sampled values is returned as the final value.
Loader.load:  See http://www.framsticks.com/a/al_params.html#exper-perfcalc
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded population settings from 'sample-period-2.sim'
Simulator.load: Loading from 'only-body.sim'
Loader.load: Comments read from file follow:
Loader.load:  Turns off mutations in f0, f1, f4, fH related to brain (disables adding and modifying neurons)
Simulator.load: Loaded simulator settings from 'only-body.sim'
Simulator.load: Loading from 'uneven-ground.sim'
Loader.load: Comments read from file follow:
Loader.load:  Produces a microscopically uneven underlying heightfield, where the resting height ("vertpos") is sensitive to the shape of structures,
Loader.load:  because individual Parts settle at different elevations depending on the (world-centered) geometry of the structure.
Simulator.load: Loaded simulator settings from 'uneven-ground.sim'
gen	nevals	avg         	stddev    	min         	max         
0  	100   	-0.000966667	1.0842e-19	-0.000966667	-0.000966667
1  	93    	-0.000964   	9.04311e-06	-0.000966667	-0.000933333
2  	91    	-0.000944   	2.04831e-05	-0.000966667	-0.000866667
3  	92    	-0.000913667	2.3615e-05 	-0.000966667	-0.000866667
4  	93    	-0.000878667	2.42762e-05	-0.000966667	-0.000833333
5  	95    	-0.000855667	3.16421e-05	-0.000966667	-0.0007     
6  	93    	0.00106866  	0.0132708  	-0.000966667	0.104122    
7  	95    	0.011349    	0.0318278  	-0.0009     	0.127991    
8  	97    	0.0602816   	0.0593492  	-0.000933333	0.314805    
9  	92    	0.122867    	0.0943116  	-0.0009     	0.39474     
10 	97    	0.223713    	0.126828   	-0.000833333	0.553447    
11 	93    	0.279161    	0.161357   	-0.0009     	0.671581    
12 	94    	0.343386    	0.19273    	-0.0009     	0.714053    
13 	94    	0.443597    	0.196204   	-0.000933333	0.763285    
14 	92    	0.41568     	0.26479    	-0.000933333	0.805143    
15 	88    	0.540047    	0.24759    	-0.000933333	0.842236    
16 	91    	0.525207    	0.284772   	-0.000933333	0.916453    
17 	95    	0.611839    	0.258129   	-0.000766667	0.933698    
18 	91    	0.580911    	0.329954   	-0.000933333	0.946379    
19 	94    	0.579246    	0.370179   	-0.000966667	1.11725     
20 	99    	0.510861    	0.398275   	-0.000933333	1.20032     
21 	89    	0.627838    	0.398819   	-0.000833333	1.20669     
22 	91    	0.617559    	0.423097   	-0.0009     	1.20669     
23 	90    	0.867132    	0.345903   	-0.000866667	1.24121     
24 	88    	0.904132    	0.392522   	-0.0009     	1.24207     
25 	89    	0.908991    	0.353386   	0.0742219   	1.25381     
26 	94    	0.904536    	0.37305    	-0.0009     	1.27628     
27 	88    	0.984687    	0.340724   	-0.000733333	1.28473     
28 	92    	0.968341    	0.377875   	-0.0007     	1.34367     
29 	97    	0.972102    	0.407893   	-0.000866667	1.36192     
30 	91    	0.949102    	0.428839   	-0.0008     	1.36192     
31 	91    	0.946912    	0.43659    	-0.000966667	1.36192     
32 	93    	0.906973    	0.461452   	-0.0009     	1.36791     
33 	92    	0.962715    	0.449555   	-0.000966667	1.40914     
34 	89    	0.911963    	0.470931   	-0.000933333	1.41255     
35 	94    	0.98329     	0.448416   	-0.000966667	1.41255     
36 	94    	0.981632    	0.480344   	-0.000966667	1.43977     
37 	95    	0.884515    	0.49689    	-0.0008     	1.4412      
38 	92    	1.02125     	0.463865   	0.0367845   	1.44828     
39 	88    	1.02877     	0.500076   	-0.000933333	1.47282     
40 	95    	0.985674    	0.522058   	-0.000933333	1.49889     
41 	88    	1.07835     	0.486244   	-0.000966667	1.5039      
42 	94    	1.05429     	0.485694   	-0.000833333	1.52162     
43 	89    	1.11278     	0.468121   	0.0351982   	1.55118     
44 	90    	1.02954     	0.552228   	-0.000966667	1.5526      
45 	92    	1.16417     	0.492134   	-0.000966667	1.55986     
46 	92    	1.16673     	0.476798   	0.0623867   	1.56524     
47 	89    	1.05885     	0.501483   	-0.000966667	1.58534     
48 	94    	1.20389     	0.493858   	-0.000966667	1.58534     
49 	90    	1.23058     	0.44278    	0.0499691   	1.58545     
50 	93    	1.07477     	0.526323   	0.0289886   	1.59267     
51 	91    	1.12877     	0.503143   	-0.000966667	1.59858     
52 	91    	1.12673     	0.520502   	0.0503026   	1.60993     
53 	89    	1.14328     	0.545535   	-0.000966667	1.6149      
54 	92    	1.06234     	0.540513   	-0.000966667	1.62985     
55 	95    	1.148       	0.508094   	0.0340518   	1.62985     
56 	94    	1.12542     	0.517478   	-0.0008     	1.63866     
57 	93    	1.13097     	0.489063   	0.0506753   	1.66108     
58 	94    	1.26093     	0.420004   	0.0806831   	1.66108     
59 	91    	1.22428     	0.391583   	0.36311     	1.66785     
60 	89    	1.32836     	0.417717   	0.107921    	1.67661     
61 	96    	1.1824      	0.439712   	0.0502686   	1.68796     
62 	95    	1.2839      	0.462141   	-0.000866667	1.68677     
63 	93    	1.27781     	0.457483   	0.0558996   	1.68677     
64 	93    	1.33547     	0.394224   	0.0988514   	1.68937     
65 	91    	1.30143     	0.442573   	-0.0008     	1.69366     
66 	91    	1.23964     	0.469373   	0.0290259   	1.69366     
67 	92    	1.2705      	0.465708   	-0.000933333	1.69366     
68 	96    	1.23554     	0.42325    	-0.000966667	1.6978      
69 	95    	1.34475     	0.401191   	0.363729    	1.69824     
70 	97    	1.22979     	0.472862   	0.0372705   	1.70035     
71 	92    	1.27029     	0.414231   	0.361564    	1.70554     
