Argument values: path=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;only-body.sim;uneven-ground.sim, genformat=9, initialgenotype=None, opt=vertpos, popsize=100, generations=300, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\runs\2026-09-07_224747\gens\HoF-f9-3.gen, save_stats=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\stats, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=None
Using Framsticks version: 5.5
Home (writable) dir     : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data
Resources dir           : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'only-body.sim', 'uneven-ground.sim']

Simulator.load: Loading from 'eval-allcriteria.sim'
Loader.load: Comments read from file follow:
Loader.load:  Sample settings for evaluating many criteria of performance of a Framsticks creature.
Loader.load:  See the "evalcount" parameter if you want to speed the evaluation up or have a more stable result.
Loader.load:  Other important parameters are "Energy0" and "perfperiod".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded genepool settings, 2 population settings, simulator settings from 'eval-allcriteria.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'sample-period-2.sim'
Loader.load: Comments read from file follow:
Loader.load:  Very low "performance sampling period" in the first population to sample performance very often during lifespan
Loader.load:  and avoid overlooking some behavior. Averaged performance of sampled values is returned as the final value.
Loader.load:  See http://www.framsticks.com/a/al_params.html#exper-perfcalc
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded population settings from 'sample-period-2.sim'
Simulator.load: Loading from 'only-body.sim'
Loader.load: Comments read from file follow:
Loader.load:  Turns off mutations in f0, f1, f4, fH related to brain (disables adding and modifying neurons)
Simulator.load: Loaded simulator settings from 'only-body.sim'
Simulator.load: Loading from 'uneven-ground.sim'
Loader.load: Comments read from file follow:
Loader.load:  Produces a microscopically uneven underlying heightfield, where the resting height ("vertpos") is sensitive to the shape of structures,
Loader.load:  because individual Parts settle at different elevations depending on the (world-centered) geometry of the structure.
Simulator.load: Loaded simulator settings from 'uneven-ground.sim'
gen	nevals	avg         	stddev    	min         	max         
0  	100   	-0.000966667	1.0842e-19	-0.000966667	-0.000966667
1  	93    	-0.000955333	1.57903e-05	-0.000966667	-0.000933333
2  	92    	0.00413723  	0.0293283  	-0.000966667	0.21001     
3  	95    	0.0293638   	0.0661802  	-0.000966667	0.230319    
4  	94    	0.0807669   	0.105953   	-0.000933333	0.305656    
5  	90    	0.140846    	0.125621   	-0.000933333	0.446124    
6  	88    	0.159358    	0.139819   	-0.000933333	0.645671    
7  	88    	0.185628    	0.153917   	-0.000933333	0.645817    
8  	94    	0.223674    	0.1738     	-0.000933333	0.751727    
9  	95    	0.214567    	0.161652   	-0.0009     	0.645817    
10 	90    	0.247725    	0.165611   	-0.000933333	0.64839     
11 	87    	0.24106     	0.185484   	-0.000933333	0.64839     
12 	94    	0.263012    	0.144069   	-0.0009     	0.645817    
13 	95    	0.281277    	0.174838   	-0.000933333	0.645817    
14 	87    	0.338806    	0.183633   	-0.000866667	0.751727    
15 	92    	0.311464    	0.212193   	-0.000866667	0.751727    
16 	90    	0.372233    	0.220984   	-0.000933333	0.753424    
17 	87    	0.373474    	0.244149   	-0.000866667	0.753424    
18 	87    	0.335851    	0.242025   	-0.0009     	0.754686    
19 	92    	0.377409    	0.250409   	-0.000866667	0.753424    
20 	92    	0.394121    	0.247168   	-0.000866667	0.751759    
21 	96    	0.350386    	0.274861   	-0.0009     	0.754843    
22 	84    	0.403519    	0.258372   	-0.000866667	0.754843    
23 	93    	0.420086    	0.239399   	-0.000866667	0.754843    
24 	92    	0.422783    	0.231655   	-0.000866667	0.754843    
25 	91    	0.387997    	0.24391    	-0.0009     	0.754843    
26 	94    	0.43945     	0.23602    	-0.000866667	0.754843    
27 	90    	0.440688    	0.239016   	-0.000866667	0.759222    
28 	96    	0.453057    	0.214816   	-0.000866667	0.759222    
29 	94    	0.410813    	0.233421   	-0.000866667	0.759222    
30 	93    	0.410288    	0.247043   	-0.000866667	0.759222    
31 	87    	0.463087    	0.223156   	-0.000866667	0.759222    
32 	91    	0.406662    	0.258648   	-0.000866667	0.759222    
33 	93    	0.405239    	0.245451   	-0.000866667	0.961847    
34 	94    	0.426032    	0.27234    	-0.0009     	0.961847    
35 	85    	0.45546     	0.269992   	-0.000833333	0.961969    
36 	90    	0.411979    	0.290045   	-0.000866667	0.961969    
37 	89    	0.393803    	0.281925   	-0.000833333	0.961847    
38 	91    	0.388202    	0.257731   	-0.000833333	0.961847    
39 	90    	0.374124    	0.278878   	-0.000833333	0.961847    
40 	95    	0.366958    	0.260988   	-0.000833333	0.961847    
41 	90    	0.424847    	0.268522   	-0.0008     	0.961847    
42 	96    	0.420873    	0.27822    	-0.000866667	0.961847    
43 	93    	0.448064    	0.275712   	-0.000866667	0.961969    
44 	89    	0.384031    	0.263434   	0.0572042   	0.961847    
45 	88    	0.385342    	0.24873    	0.0573063   	0.961969    
46 	94    	0.388467    	0.26249    	-0.000833333	0.961969    
47 	91    	0.377975    	0.246059   	0.0571513   	0.961969    
48 	91    	0.412178    	0.271155   	-0.0008     	0.961969    
49 	94    	0.387806    	0.258898   	0.0485666   	0.961969    
50 	87    	0.43567     	0.296728   	-0.000866667	0.961969    
51 	96    	0.381239    	0.248076   	0.0490732   	0.961969    
52 	96    	0.398143    	0.249165   	-0.0008     	0.961969    
53 	90    	0.392036    	0.244719   	0.0569279   	0.961969    
54 	91    	0.365989    	0.274034   	-0.000866667	0.961969    
55 	91    	0.458826    	0.293934   	0.0569279   	0.961969    
56 	93    	0.368208    	0.266626   	-0.0008     	0.961969    
57 	94    	0.421187    	0.242989   	0.0569279   	0.961969    
58 	91    	0.394948    	0.287236   	-0.000833333	0.961969    
59 	96    	0.378195    	0.258386   	-0.000833333	0.961969    
60 	90    	0.40713     	0.269763   	-0.000866667	0.961969    
61 	88    	0.408148    	0.263652   	-0.000833333	0.961969    
62 	93    	0.390023    	0.258234   	-0.000833333	0.961969    
63 	87    	0.447845    	0.290065   	-0.000833333	0.961969    
64 	91    	0.411972    	0.298718   	-0.000833333	0.961969    
65 	90    	0.398926    	0.286902   	-0.000766667	0.961969    
66 	93    	0.409311    	0.287952   	-0.000833333	0.961969    
67 	92    	0.417719    	0.287952   	-0.0008     	0.961969    
68 	95    	0.368599    	0.300767   	-0.0008     	0.961969    
69 	91    	0.444893    	0.305395   	-0.0008     	0.961969    
70 	93    	0.376932    	0.296277   	-0.0008     	0.961969    
71 	94    	0.438808    	0.270369   	-0.000833333	0.961969    
