Argument values: path=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;only-body.sim;uneven-ground.sim, genformat=1, initialgenotype=None, opt=vertpos, popsize=100, generations=300, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\runs\2026-09-07_224747\gens\HoF-f1-8.gen, save_stats=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\stats, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=None
Using Framsticks version: 5.5
Home (writable) dir     : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data
Resources dir           : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'only-body.sim', 'uneven-ground.sim']

Simulator.load: Loading from 'eval-allcriteria.sim'
Loader.load: Comments read from file follow:
Loader.load:  Sample settings for evaluating many criteria of performance of a Framsticks creature.
Loader.load:  See the "evalcount" parameter if you want to speed the evaluation up or have a more stable result.
Loader.load:  Other important parameters are "Energy0" and "perfperiod".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded genepool settings, 2 population settings, simulator settings from 'eval-allcriteria.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'sample-period-2.sim'
Loader.load: Comments read from file follow:
Loader.load:  Very low "performance sampling period" in the first population to sample performance very often during lifespan
Loader.load:  and avoid overlooking some behavior. Averaged performance of sampled values is returned as the final value.
Loader.load:  See http://www.framsticks.com/a/al_params.html#exper-perfcalc
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded population settings from 'sample-period-2.sim'
Simulator.load: Loading from 'only-body.sim'
Loader.load: Comments read from file follow:
Loader.load:  Turns off mutations in f0, f1, f4, fH related to brain (disables adding and modifying neurons)
Simulator.load: Loaded simulator settings from 'only-body.sim'
Simulator.load: Loading from 'uneven-ground.sim'
Loader.load: Comments read from file follow:
Loader.load:  Produces a microscopically uneven underlying heightfield, where the resting height ("vertpos") is sensitive to the shape of structures,
Loader.load:  because individual Parts settle at different elevations depending on the (world-centered) geometry of the structure.
Simulator.load: Loaded simulator settings from 'uneven-ground.sim'
gen	nevals	avg         	stddev    	min         	max         
0  	100   	-0.000966667	1.0842e-19	-0.000966667	-0.000966667
1  	92    	-0.000963   	1.04297e-05	-0.000966667	-0.000933333
2  	93    	-0.000945   	2.07498e-05	-0.000966667	-0.0009     
3  	94    	-0.000912667	2.1489e-05 	-0.000966667	-0.000866667
4  	91    	-0.000888333	2.51109e-05	-0.000933333	-0.0008     
5  	94    	-0.000848333	2.84312e-05	-0.0009     	-0.000766667
6  	91    	-0.000509036	0.00296555 	-0.000866667	0.0289964   
7  	89    	0.00168755  	0.00843321 	-0.000833333	0.04268     
8  	94    	0.024203    	0.0441084  	-0.000833333	0.204996    
9  	93    	0.0948877   	0.0787768  	-0.000833333	0.332446    
10 	90    	0.151729    	0.0977796  	-0.000866667	0.338601    
11 	94    	0.167553    	0.114928   	-0.0008     	0.348344    
12 	96    	0.201164    	0.130678   	-0.0008     	0.443728    
13 	92    	0.240313    	0.137603   	-0.000766667	0.474831    
14 	88    	0.284921    	0.148185   	-0.0008     	0.486176    
15 	94    	0.349131    	0.120155   	-0.0008     	0.502638    
16 	92    	0.31396     	0.154558   	-0.000733333	0.563341    
17 	96    	0.361339    	0.150805   	-0.000733333	0.563341    
18 	92    	0.379846    	0.157531   	0.0132014   	0.564052    
19 	95    	0.374889    	0.161799   	0.00568235  	0.638232    
20 	88    	0.374895    	0.189427   	0.00568235  	0.638232    
21 	98    	0.374511    	0.191235   	-0.000766667	0.65555     
22 	94    	0.403921    	0.180067   	0.0039413   	0.65555     
23 	94    	0.360841    	0.189459   	0.0162606   	0.65555     
24 	90    	0.413708    	0.178572   	-0.0007     	0.65648     
25 	94    	0.408103    	0.1851     	-0.000733333	0.709345    
26 	93    	0.44013     	0.180749   	0.0127707   	0.711664    
27 	93    	0.430129    	0.222589   	-0.0008     	0.713942    
28 	92    	0.471692    	0.212239   	0.021737    	0.747291    
29 	94    	0.434389    	0.206963   	-0.000766667	0.796652    
30 	91    	0.503947    	0.209248   	0.0169531   	0.796828    
31 	91    	0.563947    	0.198746   	0.0637831   	0.798331    
32 	95    	0.559364    	0.189961   	0.101828    	0.839479    
33 	91    	0.593924    	0.172272   	0.108937    	0.848751    
34 	91    	0.637442    	0.173058   	0.118978    	0.865574    
35 	95    	0.603617    	0.177698   	0.136428    	0.879615    
36 	95    	0.619526    	0.214367   	0.0350714   	0.91077     
37 	94    	0.642829    	0.19931    	0.182173    	0.935585    
38 	89    	0.673463    	0.206422   	0.159247    	0.935585    
39 	89    	0.663897    	0.237005   	0.0945426   	0.935585    
40 	90    	0.677068    	0.234589   	0.0334925   	0.958336    
41 	89    	0.682495    	0.23447    	0.0511308   	0.961929    
42 	90    	0.717084    	0.211308   	0.168093    	0.980125    
43 	89    	0.73418     	0.230957   	0.12447     	1.03359     
44 	93    	0.665766    	0.269059   	0.0315321   	1.03359     
45 	89    	0.710497    	0.272119   	0.0315321   	1.09372     
46 	94    	0.705689    	0.26778    	0.0328913   	1.09961     
47 	95    	0.634653    	0.293078   	0.0328913   	1.08112     
48 	92    	0.622679    	0.303181   	0.0296107   	1.08121     
49 	90    	0.619437    	0.315162   	0.0920196   	1.08185     
50 	91    	0.721838    	0.29213    	0.0976397   	1.08589     
51 	92    	0.793584    	0.306366   	0.01815     	1.08263     
52 	86    	0.714899    	0.371756   	0.0614727   	1.08589     
53 	92    	0.706483    	0.336905   	0.0544913   	1.08589     
54 	94    	0.70681     	0.350674   	0.0598468   	1.08965     
55 	93    	0.731915    	0.335112   	0.0614499   	1.10045     
56 	94    	0.750703    	0.324615   	0.0148799   	1.10045     
57 	92    	0.730346    	0.330563   	0.0430119   	1.10045     
58 	91    	0.682983    	0.333613   	0.0488579   	1.1009      
59 	92    	0.759994    	0.317713   	0.0682904   	1.10818     
60 	93    	0.676624    	0.325645   	0.0715257   	1.10818     
61 	86    	0.737087    	0.325074   	0.0677694   	1.11383     
62 	90    	0.8022      	0.284501   	0.114854    	1.11383     
63 	91    	0.721171    	0.327154   	0.11209     	1.11383     
64 	95    	0.7721      	0.315582   	0.109688    	1.11648     
65 	94    	0.695204    	0.321742   	0.099919    	1.11648     
66 	87    	0.792423    	0.294891   	0.113015    	1.11648     
67 	92    	0.760069    	0.327399   	0.111316    	1.12276     
68 	93    	0.791266    	0.309713   	0.115932    	1.13154     
69 	96    	0.742828    	0.316837   	0.0713304   	1.1469      
70 	95    	0.779093    	0.306771   	0.11265     	1.1469      
71 	91    	0.767897    	0.320518   	0.116222    	1.1469      
72 	94    	0.69169     	0.34429    	0.11265     	1.14898     
73 	93    	0.776021    	0.319675   	0.105397    	1.14563     
74 	95    	0.757044    	0.338041   	0.0778323   	1.1475      
75 	92    	0.820607    	0.303195   	0.104662    	1.14827     
76 	91    	0.802597    	0.341469   	0.0937144   	1.14827     
