period,demand,pv_prod,bought,sold,charge,discharge,soc
71,0.08835625,0.0,0.08835625,0.0,0.0,0.0,8.51187297286577
72,0.08935625,0.0,0.08935625,0.0,0.0,0.0,8.5101705982712
73,0.08885625,0.0,0.08885625,0.0,0.0,0.0,8.50846856415154
74,0.08965624999999999,0.0,0.08965625000000001,0.0,0.0,0.0,8.50676687043871
75,0.04515625,0.0,0.04515625,0.0,0.0,0.0,8.505065517064629
76,0.04165625000000001,0.0,0.04165625,0.0,0.0,0.0,8.503364503961221
77,0.04415625,0.0,0.04415625,0.0,0.0,0.0,8.501663831060419
78,0.04385625,0.0,0.04385625,0.0,0.0,0.0,8.49996349829421
79,0.04415625,0.0,0.04415625,0.0,0.0,0.0,8.49826350559456
80,0.04385625,0.0,0.04385625,0.0,0.0,0.0,8.49656385289344
81,0.06065625,0.0,0.06065625,0.0,0.0,0.0,8.49486454012286
82,0.06245625,0.0,0.06245625,0.0,0.0,0.0,8.49316556721484
83,0.06295624999999999,0.0,0.06295625000000001,0.0,0.0,0.0,8.491466934101391
84,0.06115625,0.0,0.06115625,0.0,0.0,0.0,8.489768640714569
85,0.06165625,0.0,0.06165625,0.0,0.0,0.0,8.488070686986431
86,0.06165625,0.0,0.06165625,0.0,0.0,0.0,8.486373072849039
87,0.06065625,0.0,0.06065625,0.0,0.0,0.0,8.48467579823447
88,0.06165625,0.0,0.06165625,0.0,0.0,0.0,8.48297886307482
89,0.22685625,0.0,0.22685625,0.0,0.0,0.0,8.481282267302211
90,0.28435625,0.0,0.28435625,0.0,0.0,0.0,8.479586010848751
91,0.28265625,0.0,0.28265625,0.0,0.0,0.0,8.477890093646581
92,0.28315625,0.0,0.28315625,0.0,0.0,0.0,8.476194515627849
93,0.24515625,0.0,0.24515625,0.0,0.0,0.0,8.474499276724719
94,0.24115625,0.0,0.24115625,0.0,0.0,0.0,8.47280437686938
95,0.24245625,0.0,0.24245625,0.0,0.0,0.0,8.47110981599401
96,0.23165625,0.0,0.23165625,0.0,0.0,0.0,8.46941559403081
97,0.19265625,0.0,0.19265625,0.0,0.0,0.0,8.467721710912
98,0.18885625,0.0,0.18885625,0.0,0.0,0.0,8.466028166569821
99,0.18865625,0.0,0.18865625,0.0,0.0,0.0,8.46433496093651
100,0.20445625,0.0,0.20445625,0.0,0.0,0.0,8.46264209394432
101,0.19665625,0.0,0.19665625,0.0,0.0,0.0,8.46094956552554
102,0.18115625,0.0,0.18115625,0.0,0.0,0.0,8.459257375612429
103,0.19815625,0.0,0.19815625,0.0,0.0,0.0,8.45756552413731
104,0.18215625,0.0,0.18215625,0.0,0.0,0.0,8.455874011032479
105,0.18245625,0.0,0.18245625,0.0,0.0,0.0,8.454182836230281
106,0.18095625,0.0,0.18095625,0.0,0.0,0.0,8.45249199966303
107,0.18165625,0.0,0.18165625,0.0,0.0,0.0,8.450801501263101
108,0.18315625,0.0,0.18315625,0.0,0.0,0.0,8.449111340962849
109,0.18415625,0.0,0.18415625,0.0,0.0,0.0,8.447421518694661
110,0.18345625,0.0,0.18345625,0.0,0.0,0.0,8.44573203439092
111,0.18445625,0.0,0.18445625,0.0,0.0,0.0,8.44404288798404
112,0.47285625,0.0,0.47285625,0.0,0.0,0.0,8.442354079406449
113,0.50415625,0.0,0.50415625,0.0,0.0,0.0,8.440665608590569
114,0.53985625,0.0,0.53985625,0.0,0.0,0.0,8.43897747546885
115,0.06345624999999999,0.0,0.06345625000000001,0.0,0.0,0.0,8.437289679973761
116,0.06215625,0.0,0.06215625,0.0,0.0,0.0,8.43560222203776
117,0.05785625,0.0,0.05785625,0.0,0.0,0.0,8.43391510159336
118,0.05765625,0.0,0.05765625,0.0,0.0,0.0,8.43222831857304
119,0.06195625,0.0,0.06195625,0.0,0.0,0.0,8.43054187290933
120,0.05965625,0.0,0.05965625,0.0,0.0,0.0,8.42885576453474
121,0.05885625,0.0,0.05885625,0.0,0.0,0.0,8.42716999338184
122,0.04365625,0.0,0.04365625,0.0,0.0,0.0,8.425484559383159
123,0.04235625,0.04235625,0.0,0.0,0.0,0.0,8.42379946247129
124,0.04335625,0.04335625,0.0,0.0,0.0,0.0,8.42211470257879
125,0.04265625,0.04265625,0.0,0.0,0.0,0.0,8.42043027963828
126,0.05565625,0.05565625,0.0,0.0,0.0,0.0,8.418746193582351
127,0.05585625,0.05585625,0.0,0.0,0.0,0.0,8.417062444343641
128,0.05465625,0.05465625,0.0,0.0,0.0,0.0,8.415379031854769
129,0.05415625,0.05415625,0.0,0.0,0.0,0.0,8.4136959560484
130,0.05395625,0.05395625,0.0,0.0,0.0,0.0,8.41201321685719
131,0.05515625,0.05515625,0.0,0.0,0.0,0.0,8.41033081421382
132,0.05415625,0.05415625,0.0,0.0,0.0,0.0,8.408648748050981
133,0.05885625,0.05885625,0.0,0.0,0.0,0.0,8.406967018301369
134,0.05215625,0.05215625,0.0,0.0,0.0,0.0,8.40528562489771
135,0.05215625,0.05215625,0.0,0.0,0.0,0.0,8.40360456777273
136,0.05345625,0.05345625,0.0,0.0,0.0,0.0,8.40192384685918
137,0.05195625,0.05195625,0.0,0.0,0.0,0.0,8.40024346208981
138,0.05215625,0.05215625,0.0,0.0,0.0,0.0,8.39856341339739
139,0.05345625,0.05345625,0.0,0.0,0.0,0.0,8.39688370071471
140,0.05665625,0.05665625,0.0,0.0,0.0,0.0,8.39520432397457
141,0.05635625,0.05635625,0.0,0.0,0.0,0.0,8.39352528310978
142,0.05495625,0.05495625,0.0,0.0,0.0,0.0,8.39184657805316
143,0.04835625,0.04835625,0.0,0.0,0.0,0.0,8.390168208737551
144,0.04815625,0.04815625,0.0,0.0,0.0,0.0,8.3884901750958
145,0.04765625,0.04765625,0.0,0.0,0.0,0.0,8.386812477060779
146,0.04865625,0.04865625,0.0,0.0,0.0,0.0,8.385135114565371
147,0.04985625,0.04985625,0.0,0.0,0.0,0.0,8.38345808754246
148,0.04985625,0.04985625,0.0,0.0,0.0,0.0,8.38178139592495
149,0.25585625,0.25585625,0.0,0.0,0.0,0.0,8.38010503964577
150,0.34785625,0.34785625,0.0,0.0,0.0,0.0,8.37842901863784
151,0.35535625,0.35535625,0.0,0.0,0.0,0.0,8.37675333283411
152,0.36015625,0.36015625,0.0,0.0,0.0,0.0,8.37507798216755
153,0.33115625,0.33115625,0.0,0.0,0.0,0.0,8.37340296657111
154,0.33215625,0.33215625,0.0,0.0,0.0,0.0,8.371728285977801
