Argument values: path=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;only-body.sim;uneven-ground.sim, genformat=0, initialgenotype=None, opt=vertpos, popsize=100, generations=300, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\runs\2026-09-07_213255\gens\HoF-f0-0.gen, save_stats=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\stats, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=None
Using Framsticks version: 5.5
Home (writable) dir     : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data
Resources dir           : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'only-body.sim', 'uneven-ground.sim']

Simulator.load: Loading from 'eval-allcriteria.sim'
Loader.load: Comments read from file follow:
Loader.load:  Sample settings for evaluating many criteria of performance of a Framsticks creature.
Loader.load:  See the "evalcount" parameter if you want to speed the evaluation up or have a more stable result.
Loader.load:  Other important parameters are "Energy0" and "perfperiod".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded genepool settings, 2 population settings, simulator settings from 'eval-allcriteria.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'sample-period-2.sim'
Loader.load: Comments read from file follow:
Loader.load:  Very low "performance sampling period" in the first population to sample performance very often during lifespan
Loader.load:  and avoid overlooking some behavior. Averaged performance of sampled values is returned as the final value.
Loader.load:  See http://www.framsticks.com/a/al_params.html#exper-perfcalc
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded population settings from 'sample-period-2.sim'
Simulator.load: Loading from 'only-body.sim'
Loader.load: Comments read from file follow:
Loader.load:  Turns off mutations in f0, f1, f4, fH related to brain (disables adding and modifying neurons)
Simulator.load: Loaded simulator settings from 'only-body.sim'
Simulator.load: Loading from 'uneven-ground.sim'
Loader.load: Comments read from file follow:
Loader.load:  Produces a microscopically uneven underlying heightfield, where the resting height ("vertpos") is sensitive to the shape of structures,
Loader.load:  because individual Parts settle at different elevations depending on the (world-centered) geometry of the structure.
Simulator.load: Loaded simulator settings from 'uneven-ground.sim'
gen	nevals	avg        	stddev     	min        	max        
0  	100   	-0.00966667	3.46945e-18	-0.00966667	-0.00966667
1  	92    	-0.00967   	0.000129056	-0.01      	-0.00933333
2  	92    	-0.00907102	0.00449033 	-0.01      	0.0355649  
3  	93    	-0.00532478	0.0130777  	-0.01      	0.0555354  
4  	93    	0.0209246  	0.0301762  	-0.01      	0.112935   
5  	96    	0.0624604  	0.0404812  	-0.00933333	0.218173   
6  	93    	0.10118    	0.0524572  	-0.00933333	0.24495    
7  	89    	0.153074   	0.0603854  	-0.00933333	0.332222   
8  	93    	0.192461   	0.0747395  	-0.00933333	0.332244   
9  	96    	0.22058    	0.0807518  	-0.00933333	0.364214   
10 	95    	0.256569   	0.102321   	0.00231666 	0.394673   
11 	89    	0.32826    	0.0769487  	-0.00933333	0.43029    
12 	90    	0.360809   	0.0627859  	0.125764   	0.474764   
13 	91    	0.392357   	0.0821176  	0.0925206  	0.541553   
14 	92    	0.443719   	0.0589881  	0.208717   	0.541553   
15 	92    	0.485098   	0.054665   	0.281393   	0.626283   
16 	92    	0.530214   	0.0769314  	0.246641   	0.684065   
17 	89    	0.580081   	0.0972357  	0.0678149  	0.712762   
18 	91    	0.633148   	0.0841813  	0.347988   	0.716727   
19 	86    	0.623186   	0.127463   	0.28273    	0.728909   
20 	94    	0.649659   	0.111588   	0.290928   	0.752458   
21 	90    	0.675332   	0.094188   	0.337332   	0.752458   
22 	89    	0.682382   	0.111054   	0.280829   	0.799787   
23 	89    	0.708644   	0.100121   	0.393585   	0.799992   
24 	97    	0.692467   	0.143012   	0.242043   	0.862296   
25 	89    	0.735469   	0.149821   	0.205971   	0.867756   
26 	96    	0.704124   	0.187548   	0.217817   	0.870673   
27 	95    	0.716941   	0.217802   	0.262329   	0.910163   
28 	93    	0.696844   	0.222585   	0.111468   	0.910163   
29 	89    	0.72298    	0.230874   	0.222265   	0.923418   
30 	97    	0.71193    	0.235841   	0.269521   	0.923418   
31 	92    	0.761036   	0.222118   	0.242822   	0.946091   
32 	96    	0.716166   	0.238803   	0.134285   	0.946166   
33 	92    	0.775785   	0.231601   	0.170139   	0.946166   
34 	89    	0.754129   	0.264874   	0.17014    	0.952922   
35 	89    	0.768634   	0.266809   	0.224938   	0.958863   
36 	92    	0.777936   	0.256206   	0.224792   	0.960928   
37 	90    	0.800504   	0.249777   	0.194908   	0.965137   
38 	91    	0.794414   	0.255127   	0.197567   	1.037      
39 	90    	0.806839   	0.255255   	0.239999   	1.037      
40 	83    	0.812516   	0.269938   	0.192397   	1.037      
41 	91    	0.857559   	0.272307   	0.259044   	1.03817    
42 	90    	0.78073    	0.30487    	0.192909   	1.03817    
43 	96    	0.761596   	0.317619   	0.198548   	1.03817    
44 	93    	0.797301   	0.308957   	0.20174    	1.03829    
45 	94    	0.816357   	0.29398    	0.235796   	1.03875    
46 	95    	0.775333   	0.295025   	0.192289   	1.03885    
47 	94    	0.815143   	0.280085   	0.192412   	1.03915    
48 	92    	0.791444   	0.31066    	0.192917   	1.03915    
49 	91    	0.806462   	0.298984   	0.235156   	1.03915    
50 	92    	0.75043    	0.313905   	0.235024   	1.03915    
51 	94    	0.833814   	0.289067   	0.191925   	1.04797    
52 	92    	0.849229   	0.268079   	0.234997   	1.04797    
53 	90    	0.800852   	0.30733    	0.235051   	1.05678    
54 	88    	0.815068   	0.302413   	0.27654    	1.05678    
55 	91    	0.729873   	0.344074   	0.190407   	1.05678    
56 	95    	0.789322   	0.330789   	0.190407   	1.0586     
57 	94    	0.761194   	0.332104   	0.225439   	1.0586     
58 	91    	0.79411    	0.336671   	0.275153   	1.0586     
59 	93    	0.741047   	0.33959    	0.225836   	1.0586     
60 	88    	0.780747   	0.3428     	0.266095   	1.05861    
61 	94    	0.709001   	0.348209   	0.189991   	1.05862    
62 	91    	0.778345   	0.344737   	0.189991   	1.05862    
63 	93    	0.688027   	0.334844   	0.225814   	1.05862    
64 	90    	0.764333   	0.339512   	0.245299   	1.05862    
65 	91    	0.779363   	0.337634   	0.190203   	1.05862    
66 	96    	0.755247   	0.339616   	0.25493    	1.05862    
67 	93    	0.744398   	0.341648   	0.225788   	1.05862    
68 	96    	0.740917   	0.332812   	0.190182   	1.05862    
69 	96    	0.758963   	0.344291   	0.245297   	1.05862    
70 	91    	0.719613   	0.346917   	0.264105   	1.05862    
71 	92    	0.733125   	0.34376    	0.253573   	1.05862    
72 	94    	0.723857   	0.33822    	0.264043   	1.05862    
73 	93    	0.795412   	0.32117    	0.286925   	1.05862    
