Argument values: path=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;only-body.sim;uneven-ground.sim, genformat=4, initialgenotype=None, opt=vertpos, popsize=100, generations=300, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\runs\2026-09-07_213255\gens\HoF-f4-3.gen, save_stats=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\stats, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=None
Using Framsticks version: 5.5
Home (writable) dir     : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data
Resources dir           : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'only-body.sim', 'uneven-ground.sim']

Simulator.load: Loading from 'eval-allcriteria.sim'
Loader.load: Comments read from file follow:
Loader.load:  Sample settings for evaluating many criteria of performance of a Framsticks creature.
Loader.load:  See the "evalcount" parameter if you want to speed the evaluation up or have a more stable result.
Loader.load:  Other important parameters are "Energy0" and "perfperiod".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded genepool settings, 2 population settings, simulator settings from 'eval-allcriteria.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'sample-period-2.sim'
Loader.load: Comments read from file follow:
Loader.load:  Very low "performance sampling period" in the first population to sample performance very often during lifespan
Loader.load:  and avoid overlooking some behavior. Averaged performance of sampled values is returned as the final value.
Loader.load:  See http://www.framsticks.com/a/al_params.html#exper-perfcalc
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded population settings from 'sample-period-2.sim'
Simulator.load: Loading from 'only-body.sim'
Loader.load: Comments read from file follow:
Loader.load:  Turns off mutations in f0, f1, f4, fH related to brain (disables adding and modifying neurons)
Simulator.load: Loaded simulator settings from 'only-body.sim'
Simulator.load: Loading from 'uneven-ground.sim'
Loader.load: Comments read from file follow:
Loader.load:  Produces a microscopically uneven underlying heightfield, where the resting height ("vertpos") is sensitive to the shape of structures,
Loader.load:  because individual Parts settle at different elevations depending on the (world-centered) geometry of the structure.
Simulator.load: Loaded simulator settings from 'uneven-ground.sim'
gen	nevals	avg        	stddev     	min        	max        
0  	100   	-0.00966667	3.46945e-18	-0.00966667	-0.00966667
1  	95    	-0.00963   	0.000104297	-0.00966667	-0.00933333
2  	95    	-0.00939   	0.000188886	-0.00966667	-0.009     
3  	92    	-0.00911667	0.000227913	-0.00966667	-0.00833333
4  	88    	-0.00877333	0.000253333	-0.00933333	-0.008     
5  	92    	-0.00564515	0.0196059  	-0.00966667	0.131592   
6  	90    	0.00343621 	0.0373965  	-0.00933333	0.139019   
7  	93    	0.0533537  	0.0733789  	-0.00966667	0.275426   
8  	91    	0.117378   	0.105316   	-0.00933333	0.359632   
9  	94    	0.18207    	0.136623   	-0.00966667	0.381314   
10 	93    	0.218366   	0.153469   	-0.00933333	0.413123   
11 	92    	0.222451   	0.16518    	-0.00933333	0.413123   
12 	89    	0.222566   	0.178537   	-0.00933333	0.423476   
13 	95    	0.250493   	0.191396   	-0.00933333	0.650912   
14 	96    	0.30767    	0.208665   	-0.00933333	0.684214   
15 	93    	0.337274   	0.2582     	-0.00933333	0.81166    
16 	90    	0.404295   	0.290354   	-0.00966667	0.82375    
17 	95    	0.381237   	0.328623   	-0.009     	0.901145   
18 	92    	0.590256   	0.325205   	-0.00933333	1.14148    
19 	95    	0.578791   	0.36778    	-0.00933333	1.14148    
20 	94    	0.659058   	0.434851   	-0.00866667	1.23336    
21 	88    	0.814877   	0.445823   	-0.008     	1.23336    
22 	85    	0.715842   	0.4945     	-0.009     	1.23336    
23 	90    	0.604393   	0.525546   	-0.009     	1.28411    
24 	94    	0.696975   	0.488      	-0.009     	1.28411    
25 	86    	0.681968   	0.526962   	-0.00933333	1.28411    
26 	90    	0.780125   	0.532713   	-0.009     	1.32524    
27 	95    	0.86649    	0.516584   	-0.008     	1.3403     
28 	90    	0.938813   	0.509566   	-0.009     	1.37351    
29 	90    	0.789519   	0.573319   	-0.00933333	1.39154    
30 	92    	0.867742   	0.547617   	-0.00933333	1.38454    
31 	94    	0.771007   	0.584116   	-0.009     	1.41115    
32 	85    	0.838565   	0.614798   	-0.00933333	1.41115    
33 	92    	0.814476   	0.60096    	-0.009     	1.41455    
34 	88    	0.815945   	0.571292   	-0.009     	1.42596    
35 	93    	0.893861   	0.583529   	-0.009     	1.60844    
36 	91    	0.917451   	0.554578   	-0.00866667	1.60927    
37 	97    	0.87473    	0.624442   	-0.009     	1.6175     
38 	91    	0.828044   	0.644191   	-0.00933333	1.64785    
39 	93    	0.926411   	0.64796    	-0.00966667	1.66548    
40 	92    	0.940186   	0.639637   	-0.00966667	1.69908    
41 	88    	1.06433    	0.673668   	-0.00933333	1.69908    
42 	93    	1.01782    	0.67715    	-0.00733333	1.69908    
43 	91    	1.09684    	0.665818   	-0.00833333	1.71742    
44 	89    	0.979377   	0.701215   	-0.009     	1.71742    
45 	94    	0.917631   	0.701199   	-0.00833333	1.71742    
46 	94    	0.938191   	0.700402   	-0.00933333	1.71742    
47 	95    	0.972373   	0.696503   	-0.00933333	1.71742    
48 	94    	0.911672   	0.636808   	-0.00966667	1.73613    
49 	87    	1.01783    	0.681029   	-0.00933333	1.73613    
50 	92    	0.954136   	0.631895   	-0.00933333	1.73613    
51 	89    	0.943226   	0.655438   	-0.00933333	1.73613    
52 	93    	1.03984    	0.668073   	0.00525352 	1.73613    
53 	93    	0.947757   	0.676007   	-0.00966667	1.73882    
54 	94    	0.970393   	0.654722   	-0.00766667	1.73882    
55 	96    	0.904233   	0.673186   	-0.009     	1.73882    
56 	91    	1.08691    	0.649627   	-0.00966667	1.73882    
57 	93    	0.967755   	0.673976   	-0.00866667	1.7399     
58 	93    	1.13867    	0.65845    	0.0052702  	1.7399     
59 	99    	1.07871    	0.655113   	-0.00966667	1.7399     
60 	93    	0.902535   	0.63294    	-0.00933333	1.7399     
61 	91    	1.15932    	0.641543   	-0.00933333	1.74186    
62 	94    	1.04692    	0.668815   	-0.009     	1.74186    
63 	94    	0.961365   	0.628787   	-0.00966667	1.74186    
64 	92    	0.982292   	0.674978   	-0.00966667	1.74186    
65 	90    	1.06113    	0.674509   	-0.00933333	1.74186    
66 	90    	1.06669    	0.656991   	-0.00966667	1.74186    
67 	91    	1.09122    	0.667462   	-0.00866667	1.74186    
68 	91    	1.01889    	0.664074   	-0.00933333	1.74186    
69 	95    	0.93343    	0.656852   	0.00526827 	1.74186    
70 	92    	1.03525    	0.679914   	-0.00966667	1.74186    
71 	93    	1.00027    	0.665104   	-0.009     	1.74186    
72 	96    	1.08253    	0.665421   	-0.00966667	1.74186    
