Argument values: path=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;only-body.sim;uneven-ground.sim, genformat=9, initialgenotype=None, opt=vertpos, popsize=100, generations=300, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\runs\2026-09-07_213255\gens\HoF-f9-1.gen, save_stats=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\stats, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=None
Using Framsticks version: 5.5
Home (writable) dir     : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data
Resources dir           : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'only-body.sim', 'uneven-ground.sim']

Simulator.load: Loading from 'eval-allcriteria.sim'
Loader.load: Comments read from file follow:
Loader.load:  Sample settings for evaluating many criteria of performance of a Framsticks creature.
Loader.load:  See the "evalcount" parameter if you want to speed the evaluation up or have a more stable result.
Loader.load:  Other important parameters are "Energy0" and "perfperiod".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded genepool settings, 2 population settings, simulator settings from 'eval-allcriteria.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'sample-period-2.sim'
Loader.load: Comments read from file follow:
Loader.load:  Very low "performance sampling period" in the first population to sample performance very often during lifespan
Loader.load:  and avoid overlooking some behavior. Averaged performance of sampled values is returned as the final value.
Loader.load:  See http://www.framsticks.com/a/al_params.html#exper-perfcalc
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded population settings from 'sample-period-2.sim'
Simulator.load: Loading from 'only-body.sim'
Loader.load: Comments read from file follow:
Loader.load:  Turns off mutations in f0, f1, f4, fH related to brain (disables adding and modifying neurons)
Simulator.load: Loaded simulator settings from 'only-body.sim'
Simulator.load: Loading from 'uneven-ground.sim'
Loader.load: Comments read from file follow:
Loader.load:  Produces a microscopically uneven underlying heightfield, where the resting height ("vertpos") is sensitive to the shape of structures,
Loader.load:  because individual Parts settle at different elevations depending on the (world-centered) geometry of the structure.
Simulator.load: Loaded simulator settings from 'uneven-ground.sim'
gen	nevals	avg        	stddev     	min        	max        
0  	100   	-0.00966667	3.46945e-18	-0.00966667	-0.00966667
1  	91    	-0.00952667	0.00016452 	-0.00966667	-0.00933333
2  	95    	0.00553248 	0.0514961  	-0.00966667	0.209058   
3  	89    	0.0447429  	0.0891754  	-0.00966667	0.296846   
4  	93    	0.0755885  	0.109721   	-0.00933333	0.446111   
5  	91    	0.124198   	0.129542   	-0.00966667	0.44613    
6  	90    	0.190461   	0.129997   	-0.00933333	0.44613    
7  	92    	0.19913    	0.168473   	-0.00933333	0.750075   
8  	94    	0.249534   	0.165396   	-0.009     	0.750075   
9  	90    	0.273204   	0.201585   	-0.009     	0.753423   
10 	90    	0.29125    	0.254233   	-0.009     	0.750075   
11 	85    	0.414121   	0.2612     	-0.00866667	0.753424   
12 	95    	0.370869   	0.249175   	-0.00866667	0.754549   
13 	90    	0.395183   	0.258057   	-0.009     	0.753424   
14 	97    	0.351897   	0.244773   	-0.009     	0.754549   
15 	92    	0.363878   	0.262591   	-0.00933333	0.754549   
16 	94    	0.398954   	0.253771   	-0.00866667	0.754549   
17 	94    	0.394742   	0.243916   	-0.00866667	0.7592     
18 	94    	0.430991   	0.243189   	-0.00866667	0.754686   
19 	91    	0.419977   	0.252245   	-0.00866667	0.754686   
20 	90    	0.445507   	0.240597   	-0.00866667	0.758981   
21 	95    	0.414602   	0.220598   	-0.00866667	0.758776   
22 	96    	0.389622   	0.216959   	-0.009     	0.758998   
23 	90    	0.416002   	0.22606    	-0.00866667	0.758998   
24 	94    	0.405974   	0.2343     	-0.00866667	0.754886   
25 	96    	0.337855   	0.248855   	-0.009     	0.758776   
26 	92    	0.421149   	0.24359    	-0.009     	0.759222   
27 	96    	0.438093   	0.217932   	-0.00866667	0.753477   
28 	94    	0.378713   	0.231072   	-0.00866667	0.753477   
29 	93    	0.427084   	0.260242   	-0.009     	0.759088   
30 	87    	0.427851   	0.240647   	-0.00866667	0.759088   
31 	91    	0.46354    	0.251129   	-0.00866667	0.759088   
32 	92    	0.435969   	0.235424   	-0.00866667	0.759088   
33 	97    	0.403573   	0.239797   	-0.00866667	0.759222   
34 	94    	0.41671    	0.217403   	-0.00866667	0.759222   
35 	92    	0.447156   	0.238607   	-0.009     	0.759222   
36 	92    	0.435508   	0.228574   	-0.00866667	0.759222   
37 	89    	0.494363   	0.2333     	-0.00866667	0.754686   
38 	97    	0.423542   	0.233961   	-0.00866667	0.754686   
39 	94    	0.35067    	0.250151   	-0.00866667	0.754686   
40 	93    	0.402026   	0.232757   	-0.009     	0.754686   
41 	92    	0.427819   	0.238535   	-0.00866667	0.791105   
42 	91    	0.393634   	0.259661   	-0.00866667	0.791105   
43 	95    	0.37379    	0.244448   	-0.00866667	0.791105   
44 	93    	0.38282    	0.254288   	-0.00866667	0.793176   
45 	91    	0.416373   	0.247249   	-0.00866667	0.7936     
46 	94    	0.394571   	0.25637    	-0.00833333	0.800408   
47 	94    	0.394496   	0.248799   	-0.00866667	0.906343   
48 	91    	0.419724   	0.228482   	-0.00833333	0.800408   
49 	96    	0.375346   	0.238562   	-0.00833333	0.900058   
50 	94    	0.462392   	0.229918   	-0.00833333	0.800407   
51 	95    	0.403935   	0.252554   	0.0485991  	0.912335   
52 	88    	0.458662   	0.258924   	0.0485991  	0.905922   
53 	90    	0.450357   	0.256875   	0.057412   	0.905922   
54 	92    	0.43494    	0.233211   	0.0489634  	0.833897   
55 	91    	0.395174   	0.218072   	0.0686013  	0.912954   
56 	98    	0.44325    	0.227051   	0.0574862  	0.833897   
57 	92    	0.408345   	0.243682   	0.0486185  	0.833897   
58 	95    	0.386088   	0.20843    	0.0490744  	0.833897   
59 	88    	0.393094   	0.232497   	0.0420968  	0.833897   
60 	90    	0.440955   	0.229306   	0.0686013  	0.90174    
61 	88    	0.432216   	0.246287   	0.0572042  	0.961969   
62 	93    	0.398958   	0.240969   	0.0490076  	0.90174    
63 	90    	0.408926   	0.227493   	0.0487472  	0.90174    
64 	95    	0.405938   	0.244448   	0.0489269  	0.90174    
65 	93    	0.431276   	0.252163   	0.0423712  	0.912963   
66 	89    	0.414644   	0.259497   	-0.00833333	0.912963   
67 	91    	0.406447   	0.251818   	-0.008     	0.912963   
68 	90    	0.416873   	0.241287   	-0.008     	0.912963   
69 	86    	0.435914   	0.273468   	-0.00833333	0.912963   
70 	95    	0.399317   	0.2571     	-0.008     	0.961969   
71 	89    	0.415564   	0.268651   	0.0449942  	0.961969   
72 	93    	0.427135   	0.284542   	-0.008     	0.961969   
