Argument values: path=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55, lib=None, sim=eval-allcriteria.sim;deterministic.sim;sample-period-2.sim;only-body.sim;uneven-ground.sim, genformat=1, initialgenotype=None, opt=vertpos, popsize=100, generations=300, tournament=10, pmut=0.9, pxov=0.2, hof_size=1, hof_savefile=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\runs\2026-09-07_213255\gens\HoF-f1-0.gen, save_stats=C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\stats, max_numparts=30, max_numjoints=None, max_numneurons=None, max_numconnections=None, max_numgenochars=None
Using Framsticks version: 5.5
Home (writable) dir     : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data
Resources dir           : C:\Users\alex3\Projects\AI sem 1\sem-1\BIA\Evolutionary Design\Framsticks55\data

Available objects: ['CheckpointEvent', 'Collision', 'CrCollision', 'Creature', 'CreatureSettings', 'CreatureSignals', 'CreatureSnapshot', 'Dictionary', 'ExpProperties', 'ExpState', 'ExtValue', 'File', 'FunctionReference', 'GenMan', 'GenManStats', 'GenePool', 'GenePools', 'Geno', 'GenoConverters', 'Genotype', 'Interface', 'Joint', 'Loader', 'Math', 'MechJoint', 'MechPart', 'MessageCatcher', 'Model', 'ModelGeometry', 'ModelSymmetry', 'Neuro', 'NeuroClass', 'NeuroClassLibrary', 'NeuroDef', 'NeuroSignals', 'NeuronsSimEnabled', 'ODE', 'Orient', 'Part', 'Population', 'Populations', 'Ref', 'Signal', 'SignalView', 'SimilMeasure', 'SimilMeasureDistribution', 'SimilMeasureGreedy', 'SimilMeasureHungarian', 'Simulator', 'SlaveSimulators', 'StopEvent', 'String', 'UserScripts', 'Vector', 'WireframeAppearance', 'World', 'WorldMap', 'WorldSignals', 'XYZ', '__builtins__', '__cached__', '__doc__', '__file__', '__loader__', '__name__', '__package__', '__spec__', 'c_api', 'ctypes', 'home_dir', 'init', 'os', 're', 'res_dir', 'sim_params', 'stats', 'sys']

Basic tests OK. Using settings: ['eval-allcriteria.sim', 'deterministic.sim', 'sample-period-2.sim', 'only-body.sim', 'uneven-ground.sim']

Simulator.load: Loading from 'eval-allcriteria.sim'
Loader.load: Comments read from file follow:
Loader.load:  Sample settings for evaluating many criteria of performance of a Framsticks creature.
Loader.load:  See the "evalcount" parameter if you want to speed the evaluation up or have a more stable result.
Loader.load:  Other important parameters are "Energy0" and "perfperiod".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded genepool settings, 2 population settings, simulator settings from 'eval-allcriteria.sim'
Simulator.load: Loading from 'deterministic.sim'
Loader.load: Comments read from file follow:
Loader.load:  Parameter values that make the evaluation of a Framsticks creature deterministic.
Loader.load:  The values turn off random noise, so evaluation of the same genotype will always yield the same performance.
Loader.load:  The advantage is that you do not need to evaluate a genotype many times, and performance values are reliable.
Loader.load:  The disadvantage is that evolved creatures are "overfitting", i.e. rely entirely on the specific environment,
Loader.load:  and their behavior may be different in any other environment or (even slightly) changed conditions or parameter values,
Loader.load:  so each creature evolved using these settings must be later inspected using exactly the same setup.
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded simulator settings from 'deterministic.sim'
Simulator.load: Loading from 'sample-period-2.sim'
Loader.load: Comments read from file follow:
Loader.load:  Very low "performance sampling period" in the first population to sample performance very often during lifespan
Loader.load:  and avoid overlooking some behavior. Averaged performance of sampled values is returned as the final value.
Loader.load:  See http://www.framsticks.com/a/al_params.html#exper-perfcalc
Loader.load: 
Loader.load:  Before loading this file, load base settings, e.g. "eval-allcriteria.sim".
Loader.load:  Put this file in the "data" subdirectory within the Framsticks distribution.
Simulator.load: Loaded population settings from 'sample-period-2.sim'
Simulator.load: Loading from 'only-body.sim'
Loader.load: Comments read from file follow:
Loader.load:  Turns off mutations in f0, f1, f4, fH related to brain (disables adding and modifying neurons)
Simulator.load: Loaded simulator settings from 'only-body.sim'
Simulator.load: Loading from 'uneven-ground.sim'
Loader.load: Comments read from file follow:
Loader.load:  Produces a microscopically uneven underlying heightfield, where the resting height ("vertpos") is sensitive to the shape of structures,
Loader.load:  because individual Parts settle at different elevations depending on the (world-centered) geometry of the structure.
Simulator.load: Loaded simulator settings from 'uneven-ground.sim'
gen	nevals	avg        	stddev     	min        	max        
0  	100   	-0.00966667	3.46945e-18	-0.00966667	-0.00966667
1  	94    	-0.00959333	0.000138082	-0.00966667	-0.00933333
2  	89    	-0.00934333	0.000159548	-0.00966667	-0.009     
3  	97    	-0.00911   	0.000226348	-0.00966667	-0.00866667
4  	85    	-0.00882333	0.000228303	-0.00933333	-0.00833333
5  	95    	-0.00843632	0.000923127	-0.009     	0.000368461
6  	92    	-0.00448366	0.0186275  	-0.009     	0.137995   
7  	90    	0.0135768  	0.0428749  	-0.009     	0.19741    
8  	86    	0.0612827  	0.0573532  	-0.00933333	0.269067   
9  	96    	0.0722719  	0.0771783  	-0.009     	0.310435   
10 	96    	0.108093   	0.0992637  	-0.009     	0.398105   
11 	92    	0.158344   	0.121333   	-0.009     	0.457956   
12 	96    	0.172895   	0.143045   	-0.00933333	0.457956   
13 	90    	0.228591   	0.161378   	-0.009     	0.548999   
14 	88    	0.23933    	0.181667   	-0.00866667	0.548999   
15 	97    	0.276847   	0.190096   	-0.00833333	0.595757   
16 	97    	0.276819   	0.217359   	-0.00833333	0.597597   
17 	89    	0.346652   	0.237109   	-0.008     	0.722525   
18 	94    	0.368266   	0.239238   	-0.008     	0.802638   
19 	96    	0.422323   	0.264936   	-0.008     	0.802638   
20 	87    	0.412951   	0.314455   	-0.008     	0.837687   
21 	89    	0.473049   	0.300789   	-0.008     	0.907578   
22 	89    	0.457811   	0.326519   	-0.00833333	0.92146    
23 	91    	0.485799   	0.342355   	-0.008     	0.92146    
24 	88    	0.491342   	0.356875   	-0.008     	1.03447    
25 	95    	0.415209   	0.38374    	-0.008     	1.03447    
26 	89    	0.514583   	0.387575   	-0.008     	1.03447    
27 	88    	0.543361   	0.402412   	-0.00833333	1.03447    
28 	94    	0.404232   	0.386684   	-0.00833333	1.03447    
29 	86    	0.452858   	0.413583   	-0.008     	1.03447    
30 	93    	0.557089   	0.459537   	-0.008     	1.18715    
31 	91    	0.495351   	0.442995   	-0.008     	1.20784    
32 	89    	0.545965   	0.485559   	-0.00833333	1.20813    
33 	88    	0.670221   	0.5084     	-0.008     	1.20813    
34 	96    	0.609541   	0.50875    	-0.008     	1.27889    
35 	93    	0.552255   	0.515917   	-0.008     	1.27889    
36 	89    	0.571714   	0.545375   	-0.008     	1.32224    
37 	90    	0.659209   	0.559741   	-0.008     	1.32224    
38 	90    	0.631614   	0.558887   	-0.008     	1.32238    
39 	94    	0.432151   	0.503895   	-0.008     	1.32636    
40 	94    	0.590152   	0.536517   	-0.00833333	1.33512    
41 	94    	0.489288   	0.5561     	-0.008     	1.35629    
42 	94    	0.682635   	0.566935   	-0.00833333	1.35629    
43 	92    	0.630359   	0.604749   	-0.008     	1.37294    
44 	90    	0.630117   	0.600502   	-0.008     	1.3868     
45 	92    	0.567004   	0.581195   	-0.008     	1.3868     
46 	91    	0.601116   	0.594786   	-0.00833333	1.38721    
47 	93    	0.562893   	0.571002   	-0.008     	1.40353    
48 	86    	0.709996   	0.622783   	-0.008     	1.41124    
49 	93    	0.676214   	0.622089   	-0.008     	1.41951    
50 	94    	0.680404   	0.61018    	-0.008     	1.41951    
51 	98    	0.646784   	0.597344   	-0.008     	1.41951    
52 	93    	0.719485   	0.620375   	-0.008     	1.41951    
53 	93    	0.780646   	0.609438   	-0.00833333	1.41951    
54 	88    	0.711777   	0.638865   	-0.008     	1.4284     
55 	92    	0.721582   	0.623001   	-0.008     	1.4284     
56 	89    	0.829473   	0.652986   	-0.008     	1.43332    
57 	91    	0.801471   	0.630106   	-0.00833333	1.44237    
58 	95    	0.852352   	0.631355   	-0.00833333	1.44237    
59 	92    	0.723276   	0.657685   	-0.00833333	1.44237    
60 	88    	0.731913   	0.615694   	-0.008     	1.44597    
61 	96    	0.668826   	0.62571    	-0.008     	1.44771    
62 	96    	0.710433   	0.63582    	-0.008     	1.44771    
63 	95    	0.591691   	0.61206    	-0.008     	1.45817    
64 	90    	0.728146   	0.614418   	-0.008     	1.45817    
65 	94    	0.779954   	0.636061   	-0.008     	1.46185    
66 	89    	0.76076    	0.652179   	-0.008     	1.46422    
67 	93    	0.838461   	0.648916   	-0.008     	1.46479    
68 	88    	0.808934   	0.640097   	-0.008     	1.46479    
69 	95    	0.786168   	0.65695    	-0.008     	1.47311    
70 	94    	0.733311   	0.643893   	-0.008     	1.48075    
71 	95    	0.615265   	0.626189   	-0.008     	1.48075    
72 	94    	0.88157    	0.629451   	-0.008     	1.48222    
73 	91    	0.739177   	0.642742   	-0.008     	1.48283    
